time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,
638140284017708454,1407.12,1407,1404.63,1408.62,1407.46,1405.1,0,0,
638140284017710085,1407.12,1407,1404.63,1408.62,1407.46,1405.1,0,0,
638140284017710467,1407.12,1407,1404.63,1408.62,1407.46,1405.1,0,0,
638140284017721097,1407.12,1407.13,1404.63,1408.62,1407.46,1405.1,0,0,
638140284018692841,1407.12,1407.14,1404.63,1408.62,1407.46,1405.1,0,0,
638140284018740286,1407.13,1407.14,1404.63,1408.62,1407.46,1405.1,0,0,
638140284043735817,1407.13,1407.14,1404.63,1408.62,1407.6,1405.1,0,0,
638140284061670408,1407.07,1407.14,1404.63,1408.62,1407.6,1405.1,0,0,
638140284061673779,1407.07,1407.08,1404.63,1408.62,1407.6,1405.1,0,0,
638140284084701324,1406.97,1407.08,1404.63,1408.62,1407.6,1405.1,0,0,
638140284084701836,1406.97,1407.08,1404.63,1408.62,1407.6,1405.1,0,0,
638140284084703708,1406.97,1407.07,1404.63,1408.62,1407.6,1405.1,0,0,
638140284084705088,1406.97,1407.03,1404.63,1408.62,1407.6,1405.1,0,0,
638140284084705421,1406.97,1407.03,1404.63,1408.62,1407.6,1405.1,0,0,
638140284084705809,1406.97,1407.03,1404.63,1408.62,1407.6,1405.1,0,0,
638140284084707204,1406.97,1407.02,1404.63,1408.62,1407.6,1405.1,0,0,
638140284085306136,1406.97,1407.02,1404.63,1408.62,1407.37,1405.1,0,0,
638140284085799020,1406.73,1407.02,1404.63,1408.62,1407.37,1405.1,0,0,
638140284085851764,1406.73,1406.98,1404.63,1408.62,1407.37,1405.1,0,0,
638140284085852575,1406.73,1406.96,1404.63,1408.62,1407.37,1405.1,0,0,
638140284085854053,1406.73,1406.95,1404.63,1408.62,1407.37,1405.1,0,0,
638140284085856367,1406.73,1406.88,1404.63,1408.62,1407.37,1405.1,0,0,
638140284085856782,1406.73,1406.86,1404.63,1408.62,1407.37,1405.1,0,0,
638140284085857286,1406.73,1406.86,1404.63,1408.62,1407.37,1405.1,0,0,
638140284085858543,1406.73,1406.82,1404.63,1408.62,1407.37,1405.1,0,0,
638140284085860778,1406.73,1406.77,1404.63,1408.62,1407.37,1405.1,0,0,
638140284085861270,1406.73,1406.74,1404.63,1408.62,1407.37,1405.1,0,0,
638140284086717158,1406.72,1406.74,1404.63,1408.62,1407.37,1405.1,0,0,
638140284086745088,1406.72,1406.73,1404.63,1408.62,1407.37,1405.1,0,0,
638140284087161832,1406.72,1406.73,1404.63,1408.62,1407.12,1405.1,0,0,
638140284087815661,1406.72,1406.73,1404.63,1408.62,1407.27,1405.1,0,0,
