time,binanceLINKBTCbidMax,binanceLINKBTCsellMin,nicehashLINKBTCbidMax,nicehashLINKBTCsellMin,okxLINKBTCLINK-BTCbidMax,okxLINKBTCLINK-BTCsellMin,bitstampLINKBTCbidMax,bitstampLINKBTCsellMin,
638140288318669345,0.0003086,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288319539305,0.0003092,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288319539689,0.0003092,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288320558795,0.0003091,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288341654454,0.0003092,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288342667546,0.0003091,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288344534729,0.0003092,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288363735100,0.0003091,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288446726397,0.0003092,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288453975845,0.0003092,0.0003085,0.00030867,0.00030881,0.000309,0.00031,0,0,
638140288502058325,0.0003092,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288517883364,0.0003091,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288518794779,0.0003092,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288523630163,0.0003093,0.0003085,0.00030867,0.00030881,0.000308,0.00031,0,0,
638140288524172763,0.0003093,0.0003085,0.00030887,0.00030881,0.000308,0.00031,0,0,
638140288529147778,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288533668397,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288533976396,0.0003092,0.0003085,0.00030887,0.00030881,0.000308,0.00031,0,0,
638140288540047990,0.0003092,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288545355772,0.0003092,0.0003085,0.00030887,0.00030881,0.000308,0.00031,0,0,
638140288545634536,0.0003093,0.0003085,0.00030887,0.00030881,0.000308,0.00031,0,0,
638140288557178748,0.0003093,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288564861264,0.0003094,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288588049510,0.0003095,0.0003085,0.00030887,0.00030881,0.000309,0.00031,0,0,
638140288588659747,0.0003095,0.0003085,0.00030907,0.00030881,0.000309,0.00031,0,0,
