time,binanceETHBTCbidMax,binanceETHBTCsellMin,nicehashETHBTCbidMax,nicehashETHBTCsellMin,okxETHBTCETH-BTCbidMax,okxETHBTCETH-BTCsellMin,bitstampETHBTCbidMax,bitstampETHBTCsellMin,
638140286287923650,0.070822,0.070819,0.07068743,0.07088967,0.07076,0.07078,0,0,
638140286290881267,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140286411987864,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286418933201,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286439915070,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286443971533,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286446929401,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286452878766,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286484802146,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286485913588,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286503951420,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286525858817,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286565872048,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286565873644,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140286566820240,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286567923331,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286568847637,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286583839832,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286591833713,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286592944627,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140286595939015,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140286596868375,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140287101822763,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.0708,0,0,
638140287101823336,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.0708,0,0,
638140287112864437,0.070822,0.070819,0.07068743,0.07088967,0.0708,0.0708,0,0,
638140287112866290,0.070822,0.070819,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140287271918957,0.070822,0.070819,0.07068743,0.07088967,0.0708,0.07082,0,0,
638140287273048025,0.070822,0.070819,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140287347965033,0.070822,0.070819,0.07068743,0.07088967,0.07082,0.07082,0,0,
638140287347965865,0.070822,0.070819,0.07068743,0.07088967,0.07082,0.07083,0,0,
638140287395822397,0.070822,0.070819,0.07068743,0.07088967,0.07082,0.07084,0,0,
638140287395828109,0.070822,0.070819,0.07068743,0.07088967,0.07083,0.07084,0,0,
638140287821945800,0.070822,0.070819,0.07068743,0.07088967,0.07082,0.07083,0,0,
638140287821947390,0.070822,0.070819,0.07068743,0.07088967,0.07082,0.07083,0,0,
638140288160039046,0.070822,0.070819,0.07068743,0.07088967,0.07081,0.07083,0,0,
638140288160041054,0.070822,0.070819,0.07068743,0.07088967,0.07081,0.07082,0,0,
638140288160962285,0.070822,0.070819,0.07068743,0.07088967,0.0708,0.07082,0,0,
638140288160964026,0.070822,0.070819,0.07068743,0.07088967,0.0708,0.07081,0,0,
638140288162034992,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.0708,0,0,
638140288162035696,0.070822,0.070819,0.07068743,0.07088967,0.07079,0.0708,0,0,
638140288162036376,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.0708,0,0,
638140288162037432,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140288166087539,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140288166088762,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140288167931351,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140288169058068,0.070822,0.070819,0.07068743,0.07088967,0.07078,0.07079,0,0,
638140288169971119,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
638140288169972562,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07078,0,0,
638140288171054517,0.070822,0.070819,0.07068743,0.07088967,0.07077,0.07079,0,0,
