time,binanceUNIBTCbidMax,binanceUNIBTCsellMin,nicehashUNIBTCbidMax,nicehashUNIBTCsellMin,okxUNIBTCUNI-BTCbidMax,okxUNIBTCUNI-BTCsellMin,bitstampUNIBTCbidMax,bitstampUNIBTCsellMin,
638140285948793568,0.0002794,0.0002794,0.00027891,0.00027968,0.0002794,0.0002798,0,0,
638140285968795852,0.0002794,0.0002794,0.00027891,0.00027968,0.0002793,0.0002798,0,0,
638140285976892876,0.0002794,0.0002794,0.00027891,0.00027968,0.0002794,0.0002798,0,0,
638140286054851938,0.0002794,0.0002794,0.00027891,0.00027968,0.0002794,0.0002797,0,0,
638140286092832297,0.0002794,0.0002794,0.00027891,0.00027968,0.0002794,0.0002798,0,0,
638140286178879896,0.0002794,0.0002794,0.00027891,0.00027968,0.0002794,0.0002797,0,0,
638140286213900871,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002797,0,0,
638140286215957358,0.0002794,0.0002794,0.00027891,0.00027968,0.0002793,0.0002797,0,0,
638140286251842929,0.0002794,0.0002794,0.00027891,0.00027968,0.0002793,0.0002799,0,0,
638140286260815911,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002799,0,0,
638140286265807056,0.0002794,0.0002794,0.00027891,0.00027968,0.0002793,0.0002799,0,0,
638140286303960313,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002799,0,0,
638140286304888132,0.0002794,0.0002794,0.00027891,0.00027968,0.0002793,0.0002799,0,0,
638140286314853833,0.0002794,0.0002794,0.00027891,0.00027968,0.0002794,0.0002799,0,0,
638140286315797156,0.0002794,0.0002794,0.00027891,0.00027968,0.0002794,0.00028,0,0,
638140286403817233,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.00028,0,0,
638140286409949763,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.0002801,0,0,
638140286425884939,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.0002799,0,0,
638140286425885449,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.0002799,0,0,
638140286428914412,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.00028,0,0,
638140286431894646,0.0002794,0.0002794,0.00027891,0.00027968,0.0002796,0.00028,0,0,
638140286432813583,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.00028,0,0,
638140286492869968,0.0002794,0.0002794,0.00027891,0.00027968,0.0002794,0.00028,0,0,
638140286501858300,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.00028,0,0,
638140286544787182,0.0002794,0.0002794,0.00027891,0.00027968,0.0002794,0.00028,0,0,
638140286551864545,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.00028,0,0,
638140286566819108,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.0002799,0,0,
638140286587006271,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.0002801,0,0,
638140286614793913,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.00028,0,0,
638140286725951419,0.0002794,0.0002794,0.00027891,0.00027968,0.0002796,0.00028,0,0,
638140286726923642,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.00028,0,0,
638140286731822032,0.0002794,0.0002794,0.00027891,0.00027968,0.0002795,0.0002801,0,0,
638140286752040536,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002801,0,0,
638140286752041977,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002806,0,0,
638140286752042330,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002806,0,0,
638140286752043757,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002793,0,0,
638140286752044067,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002789,0,0,
638140286752044385,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002789,0,0,
638140286752044693,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002789,0,0,
638140286752044911,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002789,0,0,
638140286752045133,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002789,0,0,
638140286752045449,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002789,0,0,
638140286755805659,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.000279,0,0,
638140286756932601,0.0002794,0.0002794,0.00027891,0.00027968,0.0002787,0.0002792,0,0,
638140286758967882,0.0002794,0.0002794,0.00027891,0.00027968,0.0002789,0.0002792,0,0,
638140286758968291,0.0002794,0.0002794,0.00027891,0.00027968,0.0002789,0.0002792,0,0,
638140286766968144,0.0002794,0.0002794,0.00027891,0.00027968,0.0002789,0.0002791,0,0,
638140286768853460,0.0002794,0.0002794,0.00027891,0.00027968,0.0002789,0.0002792,0,0,
638140286769987970,0.0002794,0.0002794,0.00027891,0.00027968,0.0002789,0.0002791,0,0,
638140286778922820,0.0002794,0.0002794,0.00027891,0.00027968,0.0002789,0.0002792,0,0,
638140286799929529,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002792,0,0,
638140286842943336,0.0002794,0.0002794,0.00027891,0.00027968,0.0002789,0.0002792,0,0,
638140286852849463,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002792,0,0,
638140286858834288,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002792,0,0,
638140286900843525,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140286902897427,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002795,0,0,
638140286972874828,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140286974899680,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002794,0,0,
638140287003841273,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002794,0,0,
638140287019881719,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002795,0,0,
638140287048372432,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002793,0,0,
638140287049393301,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002794,0,0,
638140287060987646,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002795,0,0,
638140287061931557,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002795,0,0,
638140287128859630,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002796,0,0,
638140287150849583,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140287152006096,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002796,0,0,
638140287204511072,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140287205096272,0.0002794,0.0002794,0.00027891,0.00027968,0.0002789,0.0002796,0,0,
638140287205096713,0.0002794,0.0002794,0.00027891,0.00027968,0.0002789,0.0002796,0,0,
638140287213876849,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140287345882545,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002796,0,0,
638140287657959770,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002795,0,0,
638140287698955152,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140287701015707,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002795,0,0,
638140287718993381,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002796,0,0,
638140287718993946,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002796,0,0,
638140287732031825,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002796,0,0,
638140287733924661,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002797,0,0,
638140287756025779,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002797,0,0,
638140287756026760,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002797,0,0,
638140287758976232,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002796,0,0,
638140287759892705,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002795,0,0,
638140287784868157,0.0002794,0.0002794,0.00027891,0.00027968,0.000279,0.0002796,0,0,
638140287788050192,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002796,0,0,
638140287788050629,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002796,0,0,
638140287799094282,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140287799094967,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140287800022193,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002795,0,0,
638140287817908538,0.0002794,0.0002794,0.00027891,0.00027968,0.0002791,0.0002795,0,0,
638140287821944664,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002795,0,0,
638140287838038634,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002796,0,0,
638140287921905052,0.0002794,0.0002794,0.00027891,0.00027968,0.0002792,0.0002795,0,0,
