time,binanceBCHBTCbidMax,binanceBCHBTCsellMin,nicehashBCHBTCbidMax,nicehashBCHBTCsellMin,okxBCHBTCBCH-BTCbidMax,okxBCHBTCBCH-BTCsellMin,bitstampBCHBTCbidMax,bitstampBCHBTCsellMin,
638140285393929707,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285459850803,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00546,0,0,
638140285461152792,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285467993547,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00546,0,0,
638140285487973690,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285491918162,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00546,0,0,
638140285511881246,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285514995120,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00546,0,0,
638140285616054045,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285674699774,0.00545,0.00546,0.00544256,0.00546725,0.00546,0.00547,0,0,
638140285677918190,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140285872841106,0.00545,0.00546,0.00544256,0.00546725,0.00546,0.00547,0,0,
638140285875026552,0.00545,0.00546,0.00544256,0.00546725,0.00545,0.00547,0,0,
638140286356888474,0.00545,0.00546,0.00544256,0.00546725,0.00546,0.00547,0,0,
638140286406021879,0.00545,0.00546,0.00544256,0.00546725,0.00546,0.00548,0,0,
638140286406969318,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00548,0,0,
638140286426982995,0.00545,0.00546,0.00544256,0.00546725,0.00546,0.00548,0,0,
638140286993932843,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00548,0,0,
638140286995028397,0.00545,0.00546,0.00544256,0.00546725,0.00546,0.00548,0,0,
638140287393959873,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00548,0,0,
638140287444122857,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287476002875,0.00545,0.00546,0.00544256,0.00546725,0.00546,0.00549,0,0,
638140287531071744,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287672943743,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287691080229,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287758007847,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287760983721,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287788950683,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287801061201,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287802951024,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287807063908,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287813208621,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287814058832,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
638140287833930899,0.00545,0.00546,0.00544256,0.00546725,0.00548,0.00549,0,0,
638140287836017990,0.00545,0.00546,0.00544256,0.00546725,0.00547,0.00549,0,0,
