time,binanceOMGBTCbidMax,binanceOMGBTCsellMin,nicehashOMGBTCbidMax,nicehashOMGBTCsellMin,okxOMGBTCOMG-BTCbidMax,okxOMGBTCOMG-BTCsellMin,bitstampOMGBTCbidMax,bitstampOMGBTCsellMin,
638140288173144742,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140288174157727,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288182108215,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140288194283116,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140288206297438,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288206298144,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288208337257,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140288216225324,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288280227848,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140288288335900,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288301260408,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140288314155646,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288323195212,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140288350333038,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140288354241956,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.46E-05,0,0,
638140288377260022,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140288452112871,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.46E-05,0,0,
638140288452753832,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.46E-05,0,0,
638140288480280035,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.47E-05,0,0,
638140288497079504,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.47E-05,0,0,
638140288497544209,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.47E-05,0,0,
638140288497544825,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.47E-05,0,0,
638140288501605886,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.47E-05,0,0,
638140288544753856,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.47E-05,0,0,
638140288545637581,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.47E-05,0,0,
638140288545638135,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.47E-05,0,0,
638140288569190787,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140288604722595,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140288648563917,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140288651667298,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140288657724280,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140288704171551,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.48E-05,0,0,
638140288705254551,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.47E-05,0,0,
638140288777334712,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.48E-05,0,0,
638140288872264047,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140288907754695,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140289036774611,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140289083790163,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140289111893195,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140289112797503,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140289120976768,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140289181812711,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140289200170393,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.45E-05,6.48E-05,0,0,
638140289294133747,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.48E-05,0,0,
638140289379102333,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.48E-05,0,0,
638140289411053490,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.48E-05,0,0,
638140289486200358,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.48E-05,0,0,
638140289526239229,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.47E-05,0,0,
638140289589435744,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.48E-05,0,0,
638140289590348650,6.46E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.47E-05,0,0,
638140289591201484,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.47E-05,0,0,
638140289592068362,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.47E-05,0,0,
638140289594148271,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.47E-05,0,0,
638140289798149736,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.47E-05,0,0,
638140289892288284,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.46E-05,0,0,
638140289998101410,6.45E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290042314162,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290045475072,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290049324850,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290074132302,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.47E-05,0,0,
638140290214205058,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.46E-05,0,0,
638140290214205599,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.44E-05,6.46E-05,0,0,
638140290287208523,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290560233593,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140290560394324,6.44E-05,6.46E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140290561512741,6.43E-05,6.46E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140290561514229,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.45E-05,0,0,
638140290571237601,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290571380997,6.43E-05,6.46E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290613433859,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290613434612,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290615491189,6.44E-05,6.46E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290619564281,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290637563899,6.44E-05,6.46E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290638514887,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290657561082,6.44E-05,6.46E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290658592532,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.43E-05,6.46E-05,0,0,
638140290660157666,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.46E-05,0,0,
638140290676403825,6.44E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140290680437590,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140290717587202,6.43E-05,6.44E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140290722662739,6.43E-05,6.45E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140290747648964,6.43E-05,6.44E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140291102764555,6.42E-05,6.44E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140291102766866,6.42E-05,6.43E-05,6.42E-05,6.46E-05,6.42E-05,6.45E-05,0,0,
638140291103802307,6.42E-05,6.43E-05,6.42E-05,6.43E-05,6.42E-05,6.45E-05,0,0,
638140291107696370,6.42E-05,6.44E-05,6.42E-05,6.43E-05,6.42E-05,6.45E-05,0,0,
638140291108169754,6.42E-05,6.44E-05,6.42E-05,6.44E-05,6.42E-05,6.45E-05,0,0,
638140291338330667,6.42E-05,6.44E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140291704480314,6.42E-05,6.44E-05,6.42E-05,6.43E-05,6.42E-05,6.44E-05,0,0,
638140291708696530,6.42E-05,6.44E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140291738942878,6.42E-05,6.44E-05,6.42E-05,6.43E-05,6.42E-05,6.44E-05,0,0,
638140291738943419,6.42E-05,6.44E-05,6.42E-05,6.43E-05,6.42E-05,6.44E-05,0,0,
638140291745563565,6.42E-05,6.44E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
638140291749678167,6.42E-05,6.44E-05,6.42E-05,6.43E-05,6.42E-05,6.44E-05,0,0,
638140291792144316,6.42E-05,6.44E-05,6.42E-05,6.49E-05,6.42E-05,6.44E-05,0,0,
638140291792144842,6.42E-05,6.44E-05,6.42E-05,6.44E-05,6.42E-05,6.44E-05,0,0,
