time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,
638140282473964106,0.003692,0.003693,0,0.00370038,0.00369,0.003693,0,0,
638140282475338661,0.003692,0.003693,0,0.00369986,0.00369,0.003693,0,0,
638140282475978784,0.003692,0.003693,0,0.00369986,0.003692,0.003693,0,0,
638140282475979240,0.003692,0.003693,0,0.00369986,0.003692,0.003693,0,0,
638140282476913319,0.003693,0.003694,0,0.00369986,0.003692,0.003693,0,0,
638140282476913996,0.003693,0.003694,0,0.00369986,0.003692,0.003693,0,0,
638140282488799925,0.003693,0.003694,0,0.00369986,0.003693,0.003693,0,0,
638140282488801885,0.003693,0.003694,0,0.00369986,0.003693,0.003695,0,0,
638140282490075109,0.003694,0.003695,0,0.00369986,0.003693,0.003695,0,0,
638140282490076429,0.003694,0.003695,0,0.00369986,0.003693,0.003695,0,0,
638140282490337831,0.003694,0.003695,0.00368896,0.00369986,0.003693,0.003695,0,0,
638140282517907544,0.003694,0.003695,0.00368896,0.00369986,0.003692,0.003695,0,0,
638140282517909948,0.003694,0.003695,0.00368896,0.00369986,0.003692,0.003696,0,0,
638140282524787358,0.003694,0.003695,0.00368896,0.00369986,0.003693,0.003696,0,0,
638140282527932621,0.003694,0.003695,0.00368896,0.00369986,0.003693,0.003695,0,0,
638140282528892433,0.003694,0.003695,0.00368896,0.00369986,0.003693,0.003696,0,0,
638140282533895685,0.003694,0.003695,0.00368896,0.00369986,0.003693,0.003695,0,0,
638140282536924944,0.003694,0.003695,0.00368896,0.00369986,0.003692,0.003695,0,0,
638140282536929233,0.003694,0.003695,0.00368896,0.00369986,0.003692,0.003696,0,0,
638140282536931324,0.003694,0.003695,0.00368896,0.00369986,0.003692,0.003694,0,0,
638140282547871392,0.003693,0.003694,0.00368896,0.00369986,0.003692,0.003694,0,0,
638140282547872178,0.003693,0.003694,0.00368896,0.00369986,0.003692,0.003694,0,0,
638140282561921886,0.003693,0.003694,0.00368896,0.00369986,0.003692,0.003693,0,0,
638140282561922407,0.003693,0.003694,0.00368896,0.00369986,0.003692,0.003693,0,0,
638140282573750318,0.003693,0.003694,0.00368896,0.00369986,0.003692,0.003694,0,0,
638140282576879086,0.003693,0.003694,0.00368896,0.00369986,0.003692,0.003693,0,0,
638140282580796523,0.003693,0.003694,0.00368625,0.00369986,0.003692,0.003693,0,0,
638140282584864938,0.003692,0.003694,0.00368625,0.00369986,0.003692,0.003693,0,0,
638140282584865720,0.003692,0.003693,0.00368625,0.00369986,0.003692,0.003693,0,0,
638140282596875081,0.003692,0.003693,0.00368625,0.00369986,0.003692,0.003694,0,0,
638140282599848132,0.003692,0.003693,0.00368625,0.00369986,0.003692,0.003693,0,0,
638140282600801426,0.003692,0.003693,0.00368625,0.00369986,0.003691,0.003693,0,0,
638140282602883072,0.003692,0.003693,0.00368625,0.00369986,0.003692,0.003693,0,0,
638140282613741434,0.003692,0.003693,0.00368625,0.00369986,0.003691,0.003693,0,0,
638140282614823884,0.003693,0.003693,0.00368625,0.00369986,0.003691,0.003693,0,0,
638140282614825859,0.003693,0.003694,0.00368625,0.00369986,0.003691,0.003693,0,0,
638140282614826939,0.003693,0.003694,0.00368625,0.00369986,0.003692,0.003693,0,0,
638140282614827454,0.003693,0.003694,0.00368625,0.00369986,0.003692,0.003694,0,0,
638140282620812663,0.003693,0.003694,0.00368625,0.00369986,0.003691,0.003694,0,0,
638140282620814215,0.003693,0.003694,0.00368625,0.00369986,0.003691,0.003693,0,0,
638140282621906405,0.003693,0.003694,0.00368625,0.00369986,0.003692,0.003693,0,0,
638140282626980023,0.003693,0.003694,0.00368625,0.00369986,0.003692,0.003694,0,0,
638140282690512358,0.003693,0.003694,0.00368625,0.00369985,0.003692,0.003694,0,0,
638140282717844015,0.003693,0.003694,0.00368625,0.00369985,0.003692,0.003693,0,0,
638140282728958209,0.003692,0.003694,0.00368625,0.00369985,0.003692,0.003693,0,0,
638140282728959579,0.003692,0.003693,0.00368625,0.00369985,0.003692,0.003693,0,0,
638140282736839798,0.003692,0.003693,0.00368625,0.00369985,0.003691,0.003693,0,0,
638140282737789650,0.003692,0.003693,0.00368625,0.00369985,0.003691,0.003694,0,0,
638140282740780946,0.003692,0.003693,0.00368625,0.00369985,0.003691,0.003693,0,0,
638140282761863836,0.003692,0.003693,0.00368625,0.00369985,0.003691,0.003694,0,0,
