time,binanceADABTCbidMax,binanceADABTCsellMin,nicehashADABTCbidMax,nicehashADABTCsellMin,okxADABTCADA-BTCbidMax,okxADABTCADA-BTCsellMin,bitstampADABTCbidMax,bitstampADABTCsellMin,
638140286871008305,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140286902883560,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140286910915524,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140286910916014,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140286926916827,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140287000880345,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.54E-05,0,0,
638140287048494276,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140287088881419,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.54E-05,0,0,
638140287213935854,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.538E-05,1.54E-05,0,0,
638140287213937027,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.538E-05,1.539E-05,0,0,
638140287226988749,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.538E-05,1.54E-05,0,0,
638140287625003271,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.538E-05,1.539E-05,0,0,
638140287636295016,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.538E-05,1.54E-05,0,0,
638140287698939927,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.54E-05,0,0,
638140287701938091,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.538E-05,1.54E-05,0,0,
638140287701939057,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.538E-05,1.539E-05,0,0,
638140287712021248,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.538E-05,1.54E-05,0,0,
638140287741959520,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.538E-05,1.539E-05,0,0,
638140287755085132,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.54E-05,0,0,
638140287755087025,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.54E-05,0,0,
638140287761088801,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140287821060560,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140287860016970,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140287910006610,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140287938979153,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140287941987003,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140287947054585,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140287947054945,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140287959102286,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140287971066820,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140287978963531,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140287978964979,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.538E-05,0,0,
638140287999091651,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.537E-05,1.539E-05,0,0,
638140288008997585,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140288017986991,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140288037095453,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.539E-05,0,0,
638140288038032187,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140288117058871,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.537E-05,0,0,
638140288120015003,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.538E-05,0,0,
638140288127128314,1.538E-05,1.539E-05,1.534E-05,1.54E-05,1.536E-05,1.537E-05,0,0,
