time,binanceBTCUSDTbidMax,binanceBTCUSDTsellMin,nicehashBTCUSDTbidMax,nicehashBTCUSDTsellMin,okxBTCUSDTBTC-USDTbidMax,okxBTCUSDTBTC-USDTsellMin,bitstampBTCUSDTbidMax,bitstampBTCUSDTsellMin,
638140289738226960,19867.75,19868.51,19853.69,19900.51,19871.6,19808.6,0,0,
638140289739301303,19867.8,19868.51,19853.69,19900.51,19871.6,19808.6,0,0,
638140289739311165,19867.8,19868.72,19853.69,19900.51,19871.6,19808.6,0,0,
638140289740246876,19867.82,19868.72,19853.69,19900.51,19871.6,19808.6,0,0,
638140289740247441,19867.82,19868.72,19853.69,19900.51,19871.6,19808.6,0,0,
638140289741195279,19867.74,19868.72,19853.69,19900.51,19871.6,19808.6,0,0,
638140289741202769,19867.74,19868.73,19853.69,19900.51,19871.6,19808.6,0,0,
638140289741203657,19867.74,19868.71,19853.69,19900.51,19871.6,19808.6,0,0,
638140289741204136,19867.74,19868.66,19853.69,19900.51,19871.6,19808.6,0,0,
638140289741204702,19867.74,19868.65,19853.69,19900.51,19871.6,19808.6,0,0,
638140289741205145,19867.74,19868.65,19853.69,19900.51,19871.6,19808.6,0,0,
638140289741205624,19867.74,19868.65,19853.69,19900.51,19871.6,19808.6,0,0,
638140289742154679,19867.79,19868.65,19853.69,19900.51,19871.6,19808.6,0,0,
638140289742165452,19867.79,19868.71,19853.69,19900.51,19871.6,19808.6,0,0,
638140289742166001,19867.79,19868.73,19853.69,19900.51,19871.6,19808.6,0,0,
638140289742166743,19867.79,19868.73,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743148071,19867.79,19868.75,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743149799,19867.79,19868.69,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743150345,19867.79,19868.67,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743150838,19867.79,19868.67,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743153537,19867.79,19868.48,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743153954,19867.79,19868.2,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743154361,19867.79,19868.2,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743164717,19867.79,19868.18,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743165201,19867.79,19867.82,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743165667,19867.79,19867.82,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743166239,19867.79,19867.8,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743166872,19867.79,19867.8,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743167537,19867.79,19867.51,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743167980,19867.79,19867.51,19853.69,19900.51,19871.6,19808.6,0,0,
638140289743219932,19866.04,19867.51,19853.69,19900.51,19871.6,19808.6,0,0,
638140289744041341,19866.04,19867.51,19853.69,19900.51,19868.8,19808.6,0,0,
638140289744232731,19866.04,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289744267954,19866.33,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289744268589,19866.35,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289744271547,19866.35,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289744272539,19866.35,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289745191255,19866.46,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289745192085,19866.46,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289745192993,19866.46,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289746080529,19866.38,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289746081415,19866.5,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289746082648,19866.5,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289746083352,19867.86,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289746083970,19867.86,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289746084585,19867.86,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289746085181,19867.86,19867.97,19853.69,19900.51,19868.8,19808.6,0,0,
638140289746099715,19867.86,19867.98,19853.69,19900.51,19868.8,19808.6,0,0,
638140289746123363,19867.86,19867.93,19853.69,19900.51,19868.8,19808.6,0,0,
638140289747226151,19867.89,19867.93,19853.69,19900.51,19868.8,19808.6,0,0,
638140289747230049,19867.89,19867.93,19853.69,19900.51,19868.8,19808.6,0,0,
638140289747262618,19867.89,19868.43,19853.69,19900.51,19868.8,19808.6,0,0,
638140289748150802,19867.91,19868.43,19853.69,19900.51,19868.8,19808.6,0,0,
638140289748152197,19867.91,19868.43,19853.69,19900.51,19868.8,19808.6,0,0,
638140289748166018,19867.91,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289749276551,19867.93,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289749280779,19867.93,19868.72,19853.69,19900.51,19868.8,19808.6,0,0,
638140289749282842,19867.93,19868.72,19853.69,19900.51,19868.8,19808.6,0,0,
638140289750216133,19867.62,19868.72,19853.69,19900.51,19868.8,19808.6,0,0,
638140289750218362,19867.62,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289751159557,19867.8,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289751166963,19867.8,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289751167515,19867.8,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289751169994,19867.81,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289752101208,19868.4,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289752105519,19868.4,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289752106478,19868.4,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289753219440,19868,19868.73,19853.69,19900.51,19868.8,19808.6,0,0,
638140289753226539,19868,19869.27,19853.69,19900.51,19868.8,19808.6,0,0,
