time,binanceXRPBTCbidMax,binanceXRPBTCsellMin,nicehashXRPBTCbidMax,nicehashXRPBTCsellMin,okxXRPBTCXRP-BTCbidMax,okxXRPBTCXRP-BTCsellMin,bitstampXRPBTCbidMax,bitstampXRPBTCsellMin,
638140282310873193,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282358878955,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282360003181,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282360787991,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.852E-05,0,0,
638140282361768335,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.849E-05,1.851E-05,0,0,
638140282364751085,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140282364846633,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282370831128,1.851E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282370938491,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282391903738,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282394093184,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282394850958,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282395783185,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282398768480,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282400789600,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282401888739,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282405810401,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282407858582,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282408801416,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282411064667,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282413054186,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282414799745,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282417837104,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282431801318,1.85E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282432801321,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140282479691346,1.851E-05,1.852E-05,1.848E-05,1.853E-05,1.851E-05,1.852E-05,0,0,
638140282515509054,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282515921251,1.852E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282515922635,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282519743212,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140282528701116,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.852E-05,1.853E-05,0,0,
638140282535768468,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140282715642989,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282721903412,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282721904289,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282723020773,1.851E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282723781955,1.851E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140282724080361,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.853E-05,0,0,
638140282731777284,1.852E-05,1.853E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282761078649,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282761079274,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282781681171,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.85E-05,1.852E-05,0,0,
638140282785804903,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282803736625,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.85E-05,1.852E-05,0,0,
638140282805785476,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282833792312,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.85E-05,1.852E-05,0,0,
638140282845750350,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.851E-05,1.852E-05,0,0,
638140282872760121,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.85E-05,1.852E-05,0,0,
638140283003808957,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.85E-05,1.851E-05,0,0,
638140283051830283,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.85E-05,1.852E-05,0,0,
638140283084709001,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.85E-05,1.851E-05,0,0,
638140283114880469,1.851E-05,1.852E-05,1.848E-05,1.855E-05,1.85E-05,1.852E-05,0,0,
638140283115507886,1.85E-05,1.852E-05,1.848E-05,1.855E-05,1.85E-05,1.852E-05,0,0,
638140283116270286,1.85E-05,1.851E-05,1.848E-05,1.855E-05,1.85E-05,1.852E-05,0,0,
638140283117648368,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
638140283128674667,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.851E-05,0,0,
638140283132778557,1.85E-05,1.851E-05,1.848E-05,1.853E-05,1.85E-05,1.852E-05,0,0,
