time,binanceADAUSDTbidMax,binanceADAUSDTsellMin,nicehashADAUSDTbidMax,nicehashADAUSDTsellMin,okxADAUSDTADA-USDTbidMax,okxADAUSDTADA-USDTsellMin,krakenADAUSDTbidMax,krakenADAUSDTsellMin,cryptoADAUSDTbidMax,cryptoADAUSDTsellMin,
14 March 2023 05:57:48,0.3438,0.3428,0.343,0.344,0.34417,0.34288,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:57:55,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:57:55,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:57:55,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:02,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:02,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:03,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:03,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:04,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:04,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:05,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:05,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:05,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:06,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:06,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:06,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:07,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:22,0.3438,0.3428,0.343,0.343,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:22,0.3438,0.3428,0.343,0.343,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:45,0.3438,0.3428,0.343,0.343,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:46,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:46,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:49,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:58:53,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:59:20,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:59:20,0.3438,0.3428,0.342,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:59:20,0.3438,0.3428,0.342,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:59:20,0.3438,0.3428,0.342,0.343,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:59:49,0.3438,0.3428,0.342,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:59:49,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 05:59:54,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:12,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:16,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:21,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:26,0.3438,0.3428,0.342,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:27,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:27,0.3438,0.3428,0.342,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:27,0.3438,0.3428,0.342,0.343,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:30,0.3438,0.3428,0.342,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:30,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:38,0.3438,0.3428,0.343,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:38,0.3438,0.3428,0.342,0.344,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
14 March 2023 06:00:38,0.3438,0.3428,0.342,0.343,0.34417,0.34287,0.345208,0.342091,0.34432,0.34298,
