time,binanceETHUSDTbidMax,binanceETHUSDTsellMin,nicehashETHUSDTbidMax,nicehashETHUSDTsellMin,okxETHUSDTETH-USDTbidMax,okxETHUSDTETH-USDTsellMin,bitstampETHUSDTbidMax,bitstampETHUSDTsellMin,krakenETHUSDTbidMax,krakenETHUSDTsellMin,cryptoETHUSDTbidMax,cryptoETHUSDTsellMin,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:31,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.11,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.13,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.25,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.26,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:32,1670.21,1669.68,1667.66,1672.53,1670.26,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.21,1669.68,1667.66,1672.53,1670.26,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.21,1669.68,1667.66,1672.53,1670.26,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.21,1669.68,1667.66,1672.53,1670.26,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.21,1669.68,1667.66,1672.53,1670.26,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.21,1669.68,1667.66,1672.53,1670.28,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.21,1669.68,1667.66,1672.53,1670.29,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.21,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.33,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.34,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.42,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.45,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.45,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.45,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.45,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
14 March 2023 05:45:33,1670.45,1669.68,1667.66,1672.53,1670.39,1669.13,1668.5,1668.3,1673.32,1665.87,1670.49,1668.33,
