time,binanceXLMBTCbidMax,binanceXLMBTCsellMin,nicehashXLMBTCbidMax,nicehashXLMBTCsellMin,okxXLMBTCXLM-BTCbidMax,okxXLMBTCXLM-BTCsellMin,bitstampXLMBTCbidMax,bitstampXLMBTCsellMin,cryptoXLMBTCbidMax,cryptoXLMBTCsellMin,
14 March 2023 07:40:12,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:12,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:15,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.48E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:15,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:19,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:19,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:19,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:19,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:19,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:19,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:19,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
14 March 2023 07:40:19,3.45E-06,3.46E-06,3.45E-06,3.46E-06,3.46E-06,3.47E-06,3.46E-06,3.46E-06,3.4581E-06,3.4599E-06,
