time,binanceLTCBTCbidMax,binanceLTCBTCsellMin,nicehashLTCBTCbidMax,nicehashLTCBTCsellMin,okxLTCBTCLTC-BTCbidMax,okxLTCBTCLTC-BTCsellMin,bitstampLTCBTCbidMax,bitstampLTCBTCsellMin,cryptoLTCBTCbidMax,cryptoLTCBTCsellMin,
638143201290763411,0.003384,0.003385,0.00337638,0.0033883,0.003381,0.003385,0.00337927,0.00338008,0.0033822,0.0033792,
638143201292811461,0.003384,0.003385,0.00337638,0.0033883,0.003381,0.003385,0.00337927,0.00338008,0.0033822,0.0033792,
638143201293951420,0.003384,0.003385,0.00337638,0.0033883,0.003381,0.003385,0.00337927,0.00338008,0.0033822,0.0033792,
638143201294893629,0.003384,0.003385,0.00337638,0.0033883,0.003381,0.003385,0.00337927,0.00338008,0.0033822,0.0033792,
638143201294896736,0.003384,0.003385,0.00337638,0.0033883,0.003381,0.003387,0.00337927,0.00338008,0.0033822,0.0033792,
638143201295799341,0.003384,0.003385,0.00337638,0.0033883,0.003381,0.003387,0.00337927,0.00338008,0.0033822,0.0033792,
638143201296057980,0.003384,0.003385,0.00337638,0.0033883,0.003382,0.003387,0.00337927,0.00338008,0.0033822,0.0033792,
638143201296058541,0.003384,0.003385,0.00337638,0.0033883,0.003382,0.003387,0.00337927,0.00338008,0.0033822,0.0033792,
638143201296060460,0.003384,0.003385,0.00337638,0.0033883,0.003383,0.003386,0.00337927,0.00338008,0.0033822,0.0033792,
638143201296061156,0.003384,0.003385,0.00337638,0.0033883,0.003383,0.003386,0.00337927,0.00338008,0.0033822,0.0033792,
638143201296912526,0.003384,0.003385,0.00337638,0.0033883,0.003383,0.003386,0.00337927,0.00338008,0.0033822,0.0033792,
638143201297894472,0.003384,0.003385,0.00337638,0.0033883,0.003383,0.003386,0.00337927,0.00338008,0.0033822,0.0033792,
638143201302229098,0.003384,0.003385,0.00337638,0.0033883,0.003382,0.003386,0.00337927,0.00338008,0.0033822,0.0033792,
638143201302235888,0.003384,0.003385,0.00337638,0.0033883,0.003382,0.003385,0.00337927,0.00338008,0.0033822,0.0033792,
638143201302238405,0.003384,0.003385,0.00337638,0.0033883,0.003382,0.003385,0.00337927,0.00338008,0.0033822,0.0033792,
638143201303157511,0.003384,0.003385,0.00337638,0.0033883,0.003382,0.003385,0.00337927,0.00338008,0.0033822,0.0033792,
638143201303187851,0.003384,0.003385,0.00337638,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201303345692,0.003384,0.003385,0.00337638,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201304154124,0.003383,0.003385,0.00337638,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201305021497,0.003383,0.003385,0.00337638,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201305023381,0.003384,0.003385,0.00337638,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201305023954,0.003384,0.003385,0.00337638,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201306942685,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201307860596,0.003383,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201307862929,0.003383,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201307869407,0.003383,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201308795719,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201308796140,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201308796752,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201309958779,0.003384,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201310932144,0.003383,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201310932936,0.003383,0.003385,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201311841128,0.003383,0.003384,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201311841569,0.003383,0.003384,0.00337846,0.0033883,0.003382,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201312036986,0.003383,0.003384,0.00337846,0.0033883,0.003381,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201313861431,0.003383,0.003384,0.00337846,0.0033883,0.003381,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201314748227,0.003383,0.003384,0.00337846,0.0033883,0.003381,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201315350689,0.003383,0.003384,0.00337846,0.0033883,0.003381,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201315894949,0.003383,0.003384,0.00337846,0.0033883,0.003381,0.003385,0.00338028,0.00338008,0.0033822,0.0033792,
638143201316092247,0.003383,0.003384,0.00337846,0.0033883,0.003381,0.003384,0.00338028,0.00338008,0.0033822,0.0033792,
638143201316775133,0.003383,0.003384,0.00337846,0.0033883,0.003381,0.003384,0.00338028,0.00338008,0.0033822,0.0033792,
