time,binanceETHBTCbidMax,binanceETHBTCsellMin,nicehashETHBTCbidMax,nicehashETHBTCsellMin,okxETHBTCETH-BTCbidMax,okxETHBTCETH-BTCsellMin,bitstampETHBTCbidMax,bitstampETHBTCsellMin,cryptoETHBTCbidMax,cryptoETHBTCsellMin,
638143201259450854,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06937,0.06949,0.06934096,0.069446,0.06938,
638143201261501646,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06937,0.06949,0.06934096,0.069446,0.06938,
638143201262145440,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06937,0.06949,0.06934096,0.069446,0.06938,
638143201262147517,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06937,0.06949,0.06934096,0.069446,0.06938,
638143201262442383,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06937,0.06949,0.06934096,0.069446,0.06938,
638143201262580911,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06937,0.06949,0.06934096,0.069446,0.06938,
638143201262665211,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06937,0.06949,0.06934096,0.069446,0.06938,
638143201263065112,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201263187312,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201263189070,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201263500358,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201263953539,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201263954627,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201264222924,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201264877137,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201265856613,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201266929395,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201267893876,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201267975424,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201268907895,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201269770471,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201270221274,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201270744973,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201270969134,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201271954827,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201273837130,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06938,0.06949,0.06934096,0.069446,0.06938,
638143201273911225,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201274801632,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201274849340,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
638143201275639358,0.069362,0.069363,0.06926128,0.06946988,0.06944,0.06939,0.06949,0.06934096,0.069446,0.06938,
