time,binanceBCHBTCbidMax,binanceBCHBTCsellMin,nicehashBCHBTCbidMax,nicehashBCHBTCsellMin,okxBCHBTCBCH-BTCbidMax,okxBCHBTCBCH-BTCsellMin,bitstampBCHBTCbidMax,bitstampBCHBTCsellMin,cryptoBCHBTCbidMax,cryptoBCHBTCsellMin,
638143205871348938,0.00527,0.00529,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143205957536882,0.00527,0.00529,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206243324560,0.00527,0.00529,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206252438176,0.00527,0.00529,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206314078081,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206318146779,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206324199381,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206328542764,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206334786156,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206337117830,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206351184210,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206366285571,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206367293770,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206368109069,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206375328177,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206379148893,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206383106631,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206399170002,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206399170498,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206400341489,0.00527,0.00528,0.00526342,0.00529926,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206400982250,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206411206193,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206421145640,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206421317753,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206421330368,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206436159588,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206438053371,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206451087530,0.00527,0.00528,0.00526342,0.00529667,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206452156252,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206462191301,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206471650860,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206473393448,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206474337664,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
638143206482128533,0.00527,0.00528,0.00526342,0.0052872,0.00528,0.00528,0.00527115,0.00528568,0.005271,0.0052892,
