time,binanceXRPUSDTbidMax,binanceXRPUSDTsellMin,nicehashXRPUSDTbidMax,nicehashXRPUSDTsellMin,okxXRPUSDTXRP-USDTbidMax,okxXRPUSDTXRP-USDTsellMin,bitstampXRPUSDTbidMax,bitstampXRPUSDTsellMin,krakenXRPUSDTbidMax,krakenXRPUSDTsellMin,cryptoXRPUSDTbidMax,cryptoXRPUSDTsellMin,
638143201026640666,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201028671296,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201029621096,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201030778150,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201031622378,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201036566004,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201039791111,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201042681488,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201043591194,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201044671053,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201044673439,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201045602668,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201047613626,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201047614212,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201048765069,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201049717436,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201049718919,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201050755341,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201051758267,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201053728474,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201053728937,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201057583932,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201058736312,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201059620032,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201063686618,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201068709815,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201069630443,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201070709183,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201071637562,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201073632521,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201074749600,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201074751245,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201075656961,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201079621189,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
638143201080770668,0.3738,0.3739,0.37349,0.37451,0.37427,0.37328,0.37382,0.37374,0.37513,0.37251,0.37377,0.37307,
