time,binanceAAVEBTCbidMax,binanceAAVEBTCsellMin,nicehashAAVEBTCbidMax,nicehashAAVEBTCsellMin,okxAAVEBTCAAVE-BTCbidMax,okxAAVEBTCAAVE-BTCsellMin,bitstampAAVEBTCbidMax,bitstampAAVEBTCsellMin,cryptoAAVEBTCbidMax,cryptoAAVEBTCsellMin,
638143199313074424,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199346074506,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199348324113,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199351953085,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199354037742,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199359002286,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199369323933,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199374179155,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199375363053,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199382320950,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199388610046,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199395157949,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199400387192,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199405378283,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199406727560,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199408638350,0,0,0,0,0,0,0,0,0.0031495,0.0031638,
638143199429545800,0,0,0,0,0,0,0.0031506,0,0.0031495,0.0031638,
638143199432623856,0,0,0,0,0,0,0.0031506,0,0.0031495,0.0031638,
638143199490763927,0,0,0,0,0,0,0.0031506,0,0.0031498,0.0031638,
638143199497062157,0,0,0,0,0,0,0.0031506,0,0.0031498,0.0031638,
638143199503432485,0,0,0,0,0,0,0.0031506,0,0.0031498,0.0031638,
638143199509347698,0,0,0,0,0,0,0.0031506,0,0.0031498,0.0031638,
638143199515667888,0,0,0,0,0,0,0.0031506,0,0.0031498,0.0031638,
638143199522181657,0,0,0,0,0,0,0.0031506,0,0.0031498,0.0031638,
638143199525457394,0,0,0,0,0,0,0.0031506,0,0.0031498,0.0031638,
638143199531942810,0,0,0,0,0,0,0.0031506,0,0.0031498,0.0031638,
638143199536920290,0,0,0,0,0,0,0.0031506,0,0.0031498,0.0031638,
638143199536943501,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199540726330,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199547114824,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199553452567,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199554855814,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199556604138,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199561249806,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199562920893,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199568507043,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199574724479,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199575778196,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199582141385,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
638143199584510434,0,0,0,0,0,0,0.0031506,0.00316202,0.0031498,0.0031638,
