time,binanceXLMBTCbidMax,binanceXLMBTCsellMin,nicehashXLMBTCbidMax,nicehashXLMBTCsellMin,okxXLMBTCXLM-BTCbidMax,okxXLMBTCXLM-BTCsellMin,bitstampXLMBTCbidMax,bitstampXLMBTCsellMin,cryptoXLMBTCbidMax,cryptoXLMBTCsellMin,
638143214520552588,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214526286793,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214528811933,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214530402190,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214531630836,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214532731599,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214534029524,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214535545892,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214541025175,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214543262427,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214543971035,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214546939487,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214549976776,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214557481512,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214566371453,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214567628739,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214570210338,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214572342709,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214573185752,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214575431502,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214576500461,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214576502965,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214576652091,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214576652988,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214584391560,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214586484921,3.49E-06,3.5E-06,3.49E-06,3.51E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214587334005,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214587479414,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214588503983,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214589147328,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214590865740,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214593744244,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214594740630,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214594902765,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214597588634,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214600560379,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.5E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214603261924,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214604329130,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214605035272,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214608240740,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214610406737,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214610471828,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214613755421,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
638143214613929455,3.49E-06,3.5E-06,3.49E-06,3.5E-06,3.5E-06,3.51E-06,3.51E-06,3.5E-06,3.5048E-06,3.5013E-06,
