time,binanceSOLUSDTbidMax,binanceSOLUSDTsellMin,nicehashSOLUSDTbidMax,nicehashSOLUSDTsellMin,okxSOLUSDTSOL-USDTbidMax,okxSOLUSDTSOL-USDTsellMin,krakenSOLUSDTbidMax,krakenSOLUSDTsellMin,cryptoSOLUSDTbidMax,cryptoSOLUSDTsellMin,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.247,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.248,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.249,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.251,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.252,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.25,19.237,19.54,19.04,19.319,19.2,
15 March 2023 23:17:15,19.24,19.23,19.27,19.29,19.25,19.237,19.54,19.04,19.319,19.2,
