time,binanceBTCUSDTbidMax,binanceBTCUSDTsellMin,nicehashBTCUSDTbidMax,nicehashBTCUSDTsellMin,okxBTCUSDTBTC-USDTbidMax,okxBTCUSDTBTC-USDTsellMin,bitstampBTCUSDTbidMax,bitstampBTCUSDTsellMin,cryptoBTCUSDTbidMax,cryptoBTCUSDTsellMin,
15 March 2023 23:05:48,24408.99,24360.96,24398.03,24465.49,24416.6,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:48,24408.99,24360.96,24398.03,24465.49,24418.3,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:48,24409.01,24360.96,24398.03,24465.49,24418.3,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:48,24409.01,24360.96,24398.03,24465.49,24418.3,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24407.98,24360.96,24398.03,24465.49,24418.3,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24407.98,24360.96,24398.03,24465.49,24418.3,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24407.98,24360.96,24398.03,24465.49,24418.4,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24407.98,24360.96,24398.03,24465.49,24418.5,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24407.98,24360.96,24398.03,24465.49,24418.6,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24407.98,24360.96,24398.03,24465.49,24419.2,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24408.42,24360.96,24398.03,24465.49,24419.2,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24408.5,24360.96,24398.03,24465.49,24419.2,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24408.5,24360.96,24398.03,24465.49,24419.2,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24408.5,24360.96,24398.03,24465.49,24419.2,24374.1,46468,24082,24396.19,24347.42,
15 March 2023 23:05:49,24407.73,24360.96,24398.03,24465.49,24419.2,24374.1,46468,24082,24396.19,24347.42,
